,category,movie_id,year,count,mean,std
0,3,1,1996,8526,4.119751348815388,0.8880261728236842
1,1,2,1996,6900,3.5740579710144926,0.8859565612278095
2,1,3,1996,3303,3.424159854677566,0.9580466770317145
3,1,4,1996,1364,3.0491202346041058,1.1173640977701538
4,1,5,1996,4136,3.3452611218568666,0.9164580256038385
5,3,6,1996,6041,3.8150968382718093,0.8977956050250273
6,3,7,1996,3537,3.566864574498162,0.8735745545169815
7,1,8,1996,589,3.370118845500849,0.9665441732859136
8,1,9,1996,1490,3.2248322147651005,0.8931051498185599
9,3,10,1996,14326,3.455535390199637,0.8418866887876981
10,3,11,1996,7481,3.7962839192621307,0.8753560538337264
11,1,12,1996,861,2.7235772357723578,1.0773629422969189
12,4,13,1996,343,3.326530612244898,0.938813129380074
13,3,14,1996,2285,3.5050328227571117,0.953652789983537
14,1,15,1996,1170,3.0145299145299145,1.032720870541753
15,3,16,1996,4209,3.6875742456640532,0.9004857335531518
16,3,17,1996,7013,4.10409239982889,0.9474206546018741
17,3,18,1996,821,3.3142509135200973,1.0597533446985556
18,1,19,1996,7914,2.6416477129138234,1.1323239721420184
19,1,20,1996,1647,3.137826350941105,0.8844936007289591
20,4,21,1995,1,3.0,
21,3,22,1996,3889,3.5602982771920804,0.8302582234414755
22,1,23,1996,1980,3.3181818181818183,0.9140820312483806
23,1,24,1996,1755,3.484900284900285,0.9909366523659309
24,3,25,1996,6475,3.762779922779923,1.0469094786567672
25,3,26,1996,799,3.7384230287859825,0.9341276692865137
26,3,27,1996,628,3.535031847133758,0.9195981538337173
27,3,28,1996,954,4.034591194968553,0.9309071558474642
28,3,29,1996,692,4.0606936416184976,1.0132628923097977
29,3,30,1996,401,3.680798004987531,0.9396038322591125
30,1,31,1996,4088,3.454990215264188,0.8908800628718005
31,3,32,1996,11035,3.883552333484368,0.9149714785967864
32,1,33,1996,10,3.1,0.5676462121975466
33,1,34,1996,11500,3.8843478260869566,0.9996165282964345
34,3,35,1996,727,3.6657496561210454,0.9504074567972579
35,3,36,1996,6071,4.112996211497282,0.8972302794992068
36,1,37,1996,5,4.0,1.0
37,1,38,1996,194,3.252577319587629,1.3167390072302447
38,3,39,1996,9279,3.440349175557711,0.9327883589070592
39,3,40,1996,332,3.7921686746987953,0.9994857266046654
40,3,41,1996,1418,3.8483779971791257,0.9483489606467932
41,1,42,1996,648,3.162037037037037,0.8773168585760495
42,3,43,1996,600,3.56,0.9061466969503281
43,1,44,1996,3631,3.014596529881575,1.0458136911328695
44,3,45,1996,3426,3.372446001167542,0.952102384010259
45,1,46,1996,1273,3.5216025137470544,0.8900462547481232
46,4,47,1995,1,5.0,
47,1,48,1996,4039,3.2230750185689527,0.9837724200293708
48,4,49,1996,7,4.142857142857143,1.0690449676496976
49,3,50,1996,10169,4.295899301799587,0.850824506442825
50,2,51,1996,2,3.5,0.7071067811865476
51,3,52,1996,2505,3.663473053892216,0.8890772634388266
52,3,53,1996,29,3.5517241379310347,1.0884526007316113
53,1,54,1996,432,3.050925925925926,1.0780230570065077
54,1,55,1996,259,3.4092664092664093,0.9413370019454405
55,2,56,1996,3,3.0,1.0
56,3,57,1996,1121,3.3398751115075824,0.8951793428232748
57,3,58,1996,2907,4.176814585483316,0.916529651015821
58,3,59,1996,37,3.6216216216216215,1.1631220283585264
59,1,60,1996,2135,3.4023419203747074,0.9334430753302374
60,1,61,1996,650,3.3861538461538463,0.9727214572043106
61,3,62,1996,6982,3.9878258378688054,0.9382881452369388
62,1,63,1996,276,3.130434782608696,1.2552498452153038
63,1,64,1996,628,3.0525477707006368,0.8815546687970954
